date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-01-02T00:00:00.000Z,157.92,158.85,154.23,154.89,37039737,37.7490508931,37.9713572338,36.8669967024,37.0247624926,148158948,0.0,1.0
2019-01-03T00:00:00.000Z,142.19,145.72,142.0,143.98,91312195,33.9889662265,34.832774165,33.943548802,34.4168461727,365248780,0.0,1.0
2019-01-04T00:00:00.000Z,148.26,148.55,143.8,144.53,58607070,35.4399334182,35.5092547503,34.373819139,34.5483176645,234428280,0.0,1.0
2019-01-07T00:00:00.000Z,147.93,148.83,145.9,148.7,54777764,35.3610505231,35.5761856916,34.8758011987,35.5451106117,219111056,0.0,1.0
2019-01-08T00:00:00.000Z,150.75,151.82,148.52,149.56,41025314,36.0351407176,36.290912529,35.502083578,35.7506842171,164101256,0.0,1.0
2019-01-09T00:00:00.000Z,153.31,154.53,149.63,151.29,45099081,36.6470807524,36.9387084252,35.7674169525,36.1642218187,180396324,0.0,1.0
2019-01-10T00:00:00.000Z,153.8,153.97,150.86,152.5,35780670,36.7642098997,36.8048465426,36.061435016,36.4534591008,143122680,0.0,1.0
2019-01-11T00:00:00.000Z,152.29,153.7,151.51,152.88,27023241,36.4032608948,36.7403059921,36.2168104155,36.5442939497,108092964,0.0,1.0
2019-01-14T00:00:00.000Z,150.0,151.27,149.22,150.85,32439186,35.8558614106,36.1594410372,35.6694109313,36.0590446253,129756744,0.0,1.0
2019-01-15T00:00:00.000Z,153.07,153.39,150.05,150.27,28710324,36.5897113741,36.6662038785,35.8678133644,35.9204019611,114841296,0.0,1.0
2019-01-16T00:00:00.000Z,154.94,155.88,153.0,153.08,30569706,37.0367144464,37.2614111779,36.5729786388,36.5921017649,122278824,0.0,1.0
2019-01-17T00:00:00.000Z,155.86,157.66,153.26,154.2,29821160,37.2566303964,37.6869007333,36.6351287986,36.8598255301,119284640,0.0,1.0
2019-01-18T00:00:00.000Z,156.82,157.88,155.98,157.5,33751023,37.4861079094,37.73948933,37.2853150855,37.6486544811,135004092,0.0,1.0
2019-01-22T00:00:00.000Z,153.3,156.73,152.62,156.41,30393970,36.6446903616,37.4645943926,36.4821437899,37.3881018882,121575880,0.0,1.0
2019-01-23T00:00:00.000Z,153.92,155.14,151.7,154.15,23130570,36.7928945888,37.0845222616,36.2622278399,36.8478735763,92522280,0.0,1.0
2019-01-24T00:00:00.000Z,152.7,154.48,151.74,154.11,25441549,36.501266916,36.9267564714,36.271789403,36.8383120132,101766196,0.0,1.0
2019-01-25T00:00:00.000Z,157.76,158.13,154.32,155.48,33547893,37.7108046409,37.7992490991,36.8885102192,37.1657955475,134191572,0.0,1.0
2019-01-28T00:00:00.000Z,156.3,156.33,153.66,155.79,26192058,37.3618075898,37.3689787621,36.730744429,37.239897661,104768232,0.0,1.0
2019-01-29T00:00:00.000Z,154.68,158.13,154.11,156.25,41587239,36.9745642866,37.7992490991,36.8383120132,37.349855636,166348956,0.0,1.0
2019-01-30T00:00:00.000Z,165.25,166.15,160.23,163.25,61109780,39.5012073207,39.7163424891,38.3012311588,39.0231291685,244439120,0.0,1.0
2019-01-31T00:00:00.000Z,166.44,169.0,164.56,166.11,40739649,39.7856638212,40.3976038559,39.3362703582,39.7067809261,162958596,0.0,1.0
2019-02-01T00:00:00.000Z,166.52,168.98,165.93,166.96,32668138,39.8047869473,40.3928230744,39.6637538924,39.9099641408,130672552,0.0,1.0
2019-02-04T00:00:00.000Z,171.25,171.66,167.28,167.41,31495582,40.9354417771,41.0334477983,39.9864566451,40.017531725,125982328,0.0,1.0
2019-02-05T00:00:00.000Z,174.18,175.08,172.35,172.86,36101628,41.63582627,41.8509614384,41.1983847608,41.3202946896,144406512,0.0,1.0
2019-02-06T00:00:00.000Z,174.24,175.57,172.85,174.65,28239591,41.6501686145,41.9680905857,41.3179042988,41.7481746357,112958364,0.0,1.0
2019-02-07T00:00:00.000Z,170.94,173.94,170.34,172.4,31741690,40.8613396635,41.5784568917,40.7179162179,41.2103367146,126966760,0.0,1.0
2019-02-08T00:00:00.000Z,170.41,170.66,168.42,168.99,23819966,40.9091474787,40.9691632458,40.4314219727,40.5682579217,95279864,0.73,1.0
2019-02-11T00:00:00.000Z,169.43,171.21,169.25,171.05,20993425,40.6738856717,41.1011979334,40.6306743194,41.0627878425,83973700,0.0,1.0
2019-02-12T00:00:00.000Z,170.89,171.0,169.7,170.1,22283523,41.0243777515,41.0507846891,40.7387027002,40.8347279275,89134092,0.0,1.0
2019-02-13T00:00:00.000Z,170.18,172.48,169.92,171.39,22490233,40.853932973,41.4060780302,40.7915165752,41.1444092857,89960932,0.0,1.0
2019-02-14T00:00:00.000Z,170.8,171.26,169.38,169.71,21835747,41.0027720754,41.1132010868,40.6618825183,40.7411033309,87342988,0.0,1.0
2019-02-15T00:00:00.000Z,170.42,171.7,169.75,171.25,24626814,40.9115481094,41.2188288369,40.7507058536,41.1108004561,98507256,0.0,1.0
2019-02-19T00:00:00.000Z,170.93,171.44,169.49,169.71,18972826,41.0339802743,41.1564124391,40.6882894558,40.7411033309,75891304,0.0,1.0
2019-02-20T00:00:00.000Z,172.03,173.32,170.99,171.19,26114362,41.2980496495,41.6077310076,41.0483840584,41.096396672,104457448,0.0,1.0
2019-02-21T00:00:00.000Z,171.06,172.37,170.3,171.8,17249670,41.0651884732,41.3796710927,40.8827405412,41.2428351437,68998680,0.0,1.0
2019-02-22T00:00:00.000Z,172.97,173.0,171.38,171.58,18913154,41.5237089337,41.5309108258,41.142008655,41.1900212687,75652616,0.0,1.0
2019-02-25T00:00:00.000Z,174.23,175.87,173.95,174.16,21873358,41.8261883999,42.219891832,41.7589707407,41.8093839851,87493432,0.0,1.0
2019-02-26T00:00:00.000Z,174.33,175.3,173.17,173.71,17070211,41.8501947067,42.083055883,41.5717215474,41.7013556043,68280844,0.0,1.0
2019-02-27T00:00:00.000Z,174.87,175.0,172.73,173.21,27835389,41.9798287636,42.0110369625,41.4660937973,41.5813240701,111341556,0.0,1.0
2019-02-28T00:00:00.000Z,173.15,174.91,172.92,174.32,28215416,41.566920286,41.9894312863,41.5117057803,41.847794076,112861664,0.0,1.0
2019-03-01T00:00:00.000Z,174.97,175.15,172.89,174.28,25886167,42.0038350704,42.0470464227,41.5045038883,41.8381915533,103544668,0.0,1.0
2019-03-04T00:00:00.000Z,175.85,177.75,173.97,175.69,27436203,42.2150905706,42.6712104005,41.7637720021,42.1766804797,109744812,0.0,1.0
2019-03-05T00:00:00.000Z,175.53,176.0,174.54,175.94,19737419,42.1382703887,42.2511000308,41.900607951,42.2366962467,78949676,0.0,1.0
2019-03-06T00:00:00.000Z,174.52,175.49,173.94,174.67,20810384,41.8958066897,42.128667866,41.75657011,41.9318161499,83241536,0.0,1.0
2019-03-07T00:00:00.000Z,172.5,174.44,172.02,173.87,24796374,41.4108792916,41.8766016442,41.2956490188,41.7397656952,99185496,0.0,1.0
2019-03-08T00:00:00.000Z,172.91,173.07,169.5,170.32,23999358,41.5093051496,41.5477152406,40.6906900865,40.8875418026,95997432,0.0,1.0
2019-03-11T00:00:00.000Z,178.9,179.12,175.35,175.49,32011034,42.9472829291,43.0000968041,42.0950590364,42.128667866,128044136,0.0,1.0
2019-03-12T00:00:00.000Z,180.91,182.67,179.37,180.0,32467584,43.4298096965,43.8523206968,43.0601125712,43.2113523043,129870336,0.0,1.0
2019-03-13T00:00:00.000Z,181.71,183.3,180.92,182.25,31032524,43.6218601512,44.0035604299,43.4322103272,43.7514942081,124130096,0.0,1.0
2019-03-14T00:00:00.000Z,183.73,184.1,182.56,183.9,23579508,44.1067875492,44.1956108845,43.8259137593,44.1475982709,94318032,0.0,1.0
2019-03-15T00:00:00.000Z,186.12,187.33,183.74,184.85,39042912,44.6805382826,44.9710145953,44.1091881799,44.3756581858,156171648,0.0,1.0
2019-03-18T00:00:00.000Z,188.02,188.39,185.79,185.8,26219832,45.1366581125,45.2254814478,44.6013174701,44.6037181007,104879328,0.0,1.0
2019-03-19T00:00:00.000Z,186.53,188.99,185.92,188.35,31646369,44.7789641406,45.3695192888,44.6325256689,45.2158789251,126585476,0.0,1.0
2019-03-20T00:00:00.000Z,188.16,189.49,184.73,186.23,31035231,45.1702669421,45.489550823,44.3468506176,44.7069452201,124140924,0.0,1.0
2019-03-21T00:00:00.000Z,195.09,196.33,189.81,190.02,51034237,46.8339040058,47.1315822105,45.5663710049,45.6167842492,204136948,0.0,1.0
2019-03-22T00:00:00.000Z,191.05,197.69,190.78,195.34,42407666,45.8640492096,47.4580679835,45.7992321812,46.8939197729,169630664,0.0,1.0
